n_items,capacity_ratio,mean_weight,std_weight,mean_profit,std_profit,mean_ratio,std_ratio,correlation,best_algorithm
100,0.24660397074190177,47.85,26.88024367449075,105.21,54.008757623185524,2.6318824525633,1.5731771854527836,strong,dp
100,0.898861646234676,45.68,29.341056559026633,51.9,30.421867135335397,3.1888156387794333,7.267173594420945,uncorrelated,greedy
200,0.3226352941176471,53.125,27.297607495896045,49.375,29.811312869446056,2.2966720387381288,7.780452486117177,uncorrelated,greedy
50,0.36903168228469435,44.82,28.92174960129487,66.14,27.891224426331664,8.47702036825745,21.32741868318818,inverse,greedy
100,0.15350453755551266,51.79,25.747735822786435,58.26,26.831183350720853,4.381772175197319,12.084882404771013,inverse,greedy
50,0.7189213893967094,43.76,28.325649154079418,67.6,30.374331268358816,2.886145215861352,3.73509276331771,weak,dp
50,0.3886992794842624,52.74,27.85735809440658,75.26,30.811562764650542,2.0388597607897427,2.033595434176285,weak,greedy
200,0.4837481698389458,51.225,28.34932759343685,50.73,28.80099130238402,2.1223442802494876,3.7092339409220103,uncorrelated,greedy
50,0.568685376661743,54.16,28.974029750795797,55.08,29.300402727607686,2.5357270147537183,3.5005837350232905,inverse,greedy
100,0.5696482412060302,49.75,27.998705327211113,53.98,29.291288807425325,2.5461781213236727,5.4290818910822685,uncorrelated,greedy
200,0.6733067729083665,50.2,30.05877575684013,75.84,31.92122178112862,2.342226852023434,3.299491549588218,weak,greedy
50,0.46695178849144636,51.44,28.857692215421523,46.7,27.115493725912497,2.00255715355563,3.493999875836336,uncorrelated,greedy
50,0.1435257410296412,51.28,30.19141599859139,79.12,29.53414295353769,3.078662222885112,4.80298968814061,weak,greedy
100,0.6165090283748925,46.52,27.283137649471332,51.11,27.998176726351307,2.5368826497065773,4.882222094093982,uncorrelated,greedy
50,0.5956521739130435,46.0,29.347572301640216,64.42,30.80784964907483,8.589236871751197,22.550507960266234,inverse,greedy
50,0.14649122807017545,45.6,25.95149321330085,101.08,53.40293624886183,2.4136857578057684,0.7332739034182987,strong,dp
50,0.10960067969413764,47.08,26.455880253735653,102.78,53.68213483087274,2.337506343794411,0.588601507903639,strong,dp
50,0.5663217309501412,42.52,26.902966379193206,67.4,28.20992733064018,5.335971557498172,9.371026867018657,inverse,greedy
100,0.8302990897269181,46.14,28.33937896284956,69.52,33.362397995348,1.9247900468254706,1.083724857219975,weak,greedy
50,0.2442528735632184,55.68,27.027719104652544,50.98,27.956029761037243,1.6373905878332478,2.7022870176597404,uncorrelated,greedy
50,0.7580385852090032,49.76,32.14813213858622,73.2,35.92325152321265,1.9736096810810373,1.1757526251270567,weak,greedy
50,0.4035714285714286,50.4,28.759694017843792,109.42,58.123348148571075,2.336091916619888,0.44829254142782277,strong,dp
50,0.6851777866560128,50.06,30.263119469083154,72.64,31.195999743556865,2.283185845999355,2.876019659603704,weak,greedy
100,0.42107371794871795,49.92,26.361972612078933,46.27,29.557352723138113,2.4094441790776515,8.649843689372428,uncorrelated,greedy
50,0.4868421052631579,42.56,31.268616854603597,56.1,26.756120795062948,4.835217526367421,10.728193346860195,uncorrelated,greedy
200,0.3309121095776694,48.185,29.556399899175812,62.0,30.47523584814398,6.196389870371328,15.58968386436572,inverse,greedy
50,0.7970521541950113,52.92,26.905642530889313,114.94,55.661264807763764,2.393965666103099,1.1368919124698285,strong,dp
50,0.8803042433947158,49.96,27.020703173677774,75.5,31.41480542674107,1.978503348680273,1.3781144198164943,weak,greedy
200,0.2105479170941925,48.73,30.965902215178552,60.835,31.107198121978136,5.4090681485473615,10.358300720861969,inverse,greedy
50,0.5026595744680851,52.64,30.26401163097847,77.94,33.18036166168175,2.242390769341918,2.7513893951590536,weak,dp
50,0.8334131163235998,41.78,23.312906296727572,69.46,22.976692538309337,3.9710925149994716,6.285603804970552,inverse,greedy
50,0.1453982985305491,51.72,29.134199834558697,77.32,32.287731416127706,2.0692988532745726,1.8251118738727865,weak,dp
50,0.1614420062695925,51.04,29.402013536491,113.38,59.00165760383347,2.5233415658555525,0.8170162654727706,strong,dp
100,0.7320965489726711,50.13,27.265969632492443,48.7,31.025634562406612,2.2572805739201756,5.299570086205799,uncorrelated,greedy
100,0.3614785992217899,51.4,29.27319593074866,58.23,30.192666328100273,5.437137148207143,17.089540732868763,inverse,greedy
100,0.5770989193682461,48.12,27.799021565515577,62.52,28.366346257493227,5.150587482109029,13.754653966446458,inverse,dp
100,0.2631926121372032,45.48,29.123008086391078,63.54,28.908621551364224,5.6685099005696165,14.414944941284377,inverse,dp
50,0.4679722562219502,49.02,30.20562199326476,108.12,61.36795254854116,2.4870972507383278,0.9337916316694861,strong,dp
50,0.649544626593807,54.9,30.458660508958697,49.08,27.60857837701898,1.790167940574392,2.9571079643969536,uncorrelated,greedy
200,0.5634061473033056,51.73,29.337298784993823,50.0,26.90334551686834,3.5520153588308188,9.408682120045038,uncorrelated,greedy
200,0.7960592947242427,54.305,29.065649399247903,119.09,58.580046944330796,2.435957199989937,0.8404585385336905,strong,greedy
100,0.8847497089639115,51.54,29.613652257024967,43.65,28.232029682614037,1.8703313641142967,4.123379292325692,uncorrelated,greedy
100,0.7853620043401065,50.69,28.811350193977376,110.18,57.670162129128784,2.5237117713541353,1.0653360712651436,strong,greedy
50,0.21573208722741433,51.36,23.072719822335642,47.26,27.23366299270078,1.4523432907734075,2.42320285863908,uncorrelated,dp
50,0.21544869367663763,52.82,29.216906064811173,115.52,58.7405277470334,2.5368994197665646,0.9901373155197611,strong,dp
